System Code,School Code,System Name,School Name,Number Received SGP,"Median
SGP",% Low Growth,% Typical Growth,% High Growth,Number Received SGP.1,"Median
SGP.1",% Low Growth.1,% Typical Growth.1,% High Growth.1
710,204,PAULDING COUNTY,ROLAND W. RUSSOM ELEMENTARY,131,54,32.82442748091603,27.480916030534353,39.69465648854962,131,54,31.297709923664122,30.53435114503817,38.16793893129771
710,210,PAULDING COUNTY,SARA M. RAGSDALE ELEMENTARY,92,45.5,40.21739130434783,29.347826086956523,30.434782608695652,92,55.5,32.608695652173914,30.434782608695652,36.95652173913044
710,294,PAULDING COUNTY,NORTHSIDE ELEMENTARY SCHOOL,113,47,37.16814159292036,30.97345132743363,31.858407079646017,113,44,36.283185840707965,32.743362831858406,30.97345132743363
710,299,PAULDING COUNTY,ALLGOOD ELEMENTARY SCHOOL,146,46.5,38.35616438356164,28.767123287671232,32.87671232876713,144,47.5,38.19444444444444,31.25,30.555555555555557
710,304,PAULDING COUNTY,CONNIE DUGAN ELEMENTARY SCHOOL,106,54.5,33.9622641509434,24.528301886792452,41.509433962264154,105,64,18.095238095238095,34.285714285714285,47.61904761904762
710,310,PAULDING COUNTY,HAL HUTCHENS ELEMENTARY,115,46,39.130434782608695,27.82608695652174,33.04347826086956,114,38,47.36842105263158,26.31578947368421,26.31578947368421
710,1050,PAULDING COUNTY,DALLAS ELEMENTARY SCHOOL,74,56,25.675675675675677,37.83783783783784,36.486486486486484,74,45,39.189189189189186,22.972972972972972,37.83783783783784
710,2052,PAULDING COUNTY,NEW GEORGIA ELEMENTARY SCHOOL,68,54,26.470588235294116,36.76470588235294,36.76470588235294,68,55,14.705882352941176,47.05882352941177,38.23529411764706
710,4052,PAULDING COUNTY,UNION ELEMENTARY SCHOOL,86,63,23.25581395348837,29.069767441860463,47.674418604651166,86,63.5,24.41860465116279,26.74418604651163,48.83720930232558
710,5050,PAULDING COUNTY,HIRAM ELEMENTARY SCHOOL,117,52,35.042735042735046,34.18803418803419,30.76923076923077,117,62,22.22222222222222,33.333333333333336,44.44444444444444
711,110,PEACH COUNTY,KAY ROAD ELEMENTARY,61,53,37.704918032786885,32.78688524590164,29.508196721311474,61,36,45.90163934426229,27.868852459016395,26.229508196721312
711,210,PEACH COUNTY,HUNT ELEMENTARY SCHOOL,100,32,52,34,14,100,24,63,27,10
711,1050,PEACH COUNTY,BYRON ELEMENTARY SCHOOL,96,40.5,43.75,31.25,25,96,39.5,44.791666666666664,33.333333333333336,21.875
712,103,PICKENS COUNTY,HILL CITY ELEMENTARY SCHOOL,102,48.5,34.31372549019608,33.333333333333336,32.35294117647059,102,76,17.647058823529413,20.58823529411765,61.76470588235294
712,106,PICKENS COUNTY,HARMONY ELEMENTARY SCHOOL,96,30.5,53.125,23.958333333333332,22.916666666666668,95,39,45.26315789473684,29.473684210526315,25.263157894736842
712,303,PICKENS COUNTY,TATE ELEMENTARY SCHOOL,81,49,29.62962962962963,40.74074074074074,29.62962962962963,81,55,25.925925925925927,37.03703703703704,37.03703703703704
713,112,PIERCE COUNTY,MIDWAY ELEMENTARY SCHOOL,68,54.5,27.941176470588236,30.88235294117647,41.1764705882353,68,60,20.58823529411765,32.35294117647059,47.05882352941177
713,297,PIERCE COUNTY,BLACKSHEAR ELEMENTARY SCHOOL,118,79,14.40677966101695,19.491525423728813,66.10169491525424,118,54.5,28.8135593220339,35.59322033898305,35.59322033898305
713,4050,PIERCE COUNTY,PATTERSON ELEMENTARY SCHOOL,56,62,17.857142857142858,37.5,44.642857142857146,56,75.5,10.714285714285714,23.214285714285715,66.07142857142857
714,101,PIKE COUNTY,PIKE COUNTY ELEMENTARY SCHOOL,239,40,43.51464435146443,29.707112970711297,26.778242677824267,239,54,31.799163179916317,32.63598326359833,35.56485355648535
715,174,POLK COUNTY,WESTSIDE ELEMENTARY SCHOOL,79,58,30.379746835443036,26.582278481012658,43.037974683544306,79,47,36.70886075949367,34.177215189873415,29.11392405063291
715,183,POLK COUNTY,CHEROKEE ELEMENTARY SCHOOL,92,45.5,41.30434782608695,28.26086956521739,30.434782608695652,92,48.5,42.391304347826086,29.347826086956523,28.26086956521739
715,188,POLK COUNTY,NORTHSIDE ELEMENTARY,70,64.5,20,31.428571428571427,48.57142857142857,70,56,38.57142857142857,20,41.42857142857143
715,210,POLK COUNTY,VAN WERT ELEMENTARY SCHOOL,84,45.5,39.285714285714285,27.38095238095238,33.333333333333336,83,46,37.34939759036145,36.144578313253014,26.50602409638554
715,274,POLK COUNTY,EASTSIDE ELEMENTARY SCHOOL,108,59,27.77777777777778,35.18518518518518,37.03703703703704,108,40,45.370370370370374,30.555555555555557,24.074074074074073
715,310,POLK COUNTY,YOUNGS GROVE ELEMENTARY SCHOOL,78,64,20.512820512820515,34.61538461538461,44.87179487179487,78,50.5,32.05128205128205,35.8974358974359,32.05128205128205
716,3050,PULASKI COUNTY,PULASKI COUNTY ELEMENTARY SCHOOL,81,42,43.20987654320987,34.5679012345679,22.22222222222222,81,28,60.49382716049383,22.22222222222222,17.28395061728395
717,113,PUTNAM COUNTY,PUTNAM COUNTY ELEMENTARY SCHOOL,197,45,38.07106598984772,38.578680203045685,23.3502538071066,197,27,59.898477157360404,27.411167512690355,12.690355329949238
718,199,QUITMAN COUNTY,QUITMAN COUNTY ELEMENTARY,19,20,57.89473684210526,26.31578947368421,15.789473684210526,19,25,63.1578947368421,31.57894736842105,5.2631578947368425
719,105,RABUN COUNTY,RABUN COUNTY ELEMENTARY SCHOOL,138,48,36.95652173913044,31.159420289855074,31.884057971014492,139,53,28.057553956834532,32.37410071942446,39.568345323741006
720,2050,RANDOLPH COUNTY,RANDOLPH COUNTY ELEMENTARY SCHOOL,43,56,30.232558139534884,32.55813953488372,37.2093023255814,43,48,25.58139534883721,46.51162790697674,27.906976744186046
721,102,RICHMOND COUNTY,HEPHZIBAH ELEMENTARY SCHOOL,45,44,31.11111111111111,46.666666666666664,22.22222222222222,45,36,46.666666666666664,31.11111111111111,22.22222222222222
721,103,RICHMOND COUNTY,FREEDOM PARK ELEMENTARY,48,37,41.666666666666664,29.166666666666668,29.166666666666668,48,68.5,14.583333333333334,27.083333333333332,58.333333333333336
721,104,RICHMOND COUNTY,WILKINSON GARDENS ELEMENTARY SCHOOL,58,30.5,51.724137931034484,25.862068965517242,22.413793103448278,58,23,58.62068965517241,27.586206896551722,13.793103448275861
721,105,RICHMOND COUNTY,DEER CHASE ELEMENTARY SCHOOL,84,44.5,40.476190476190474,30.952380952380953,28.571428571428573,84,29.5,54.76190476190476,28.571428571428573,16.666666666666668
721,116,RICHMOND COUNTY,LAMAR - MILLEDGE ELEMENTARY SCHOOL,27,63,29.62962962962963,22.22222222222222,48.148148148148145,27,78,18.51851851851852,25.925925925925927,55.55555555555556
721,177,RICHMOND COUNTY,MEADOWBROOK ELEMENTARY SCHOOL,69,51,31.884057971014492,37.68115942028985,30.434782608695652,69,43,30.434782608695652,46.3768115942029,23.18840579710145
721,189,RICHMOND COUNTY,JAMESTOWN ELEMENTARY SCHOOL,50,37.5,42,40,18,50,40.5,34,40,26
721,194,RICHMOND COUNTY,GOSHEN ELEMENTARY SCHOOL,80,45,45,28.75,26.25,80,32,52.5,23.75,23.75
721,201,RICHMOND COUNTY,SUE REYNOLDS ELEMENTARY SCHOOL,88,25,59.09090909090909,25,15.909090909090908,88,31,51.13636363636363,30.681818181818183,18.181818181818183
721,205,RICHMOND COUNTY,DIAMOND LAKES ELEMENTARY SCHOOL,71,30,59.15492957746479,33.80281690140845,7.042253521126761,71,29,56.33802816901409,29.577464788732396,14.084507042253522
721,290,RICHMOND COUNTY,WILLIS FOREMAN ELEMENTARY SCHOOL,35,31,51.42857142857143,20,28.571428571428573,35,34,51.42857142857143,31.428571428571427,17.142857142857142
721,294,RICHMOND COUNTY,TOBACCO ROAD ELEMENTARY SCHOOL,48,36.5,43.75,25,31.25,48,65.5,16.666666666666668,33.333333333333336,50
721,297,RICHMOND COUNTY,MCBEAN ELEMENTARY SCHOOL,45,38,46.666666666666664,37.77777777777778,15.555555555555555,45,31,53.333333333333336,28.88888888888889,17.77777777777778
721,300,RICHMOND COUNTY,LAKE FOREST HILLS ELEMENTARY SCHOOL,54,43,27.77777777777778,38.888888888888886,33.333333333333336,54,51.5,31.48148148148148,37.03703703703704,31.48148148148148
721,301,RICHMOND COUNTY,JENKINS-WHITE ELEMENTARY SCHOOL,44,42,40.90909090909091,31.818181818181817,27.272727272727273,44,27,56.81818181818182,29.545454545454547,13.636363636363637
721,393,RICHMOND COUNTY,W.S. HORNSBY ELEMENTARY SCHOOL,74,45.5,33.78378378378378,44.5945945945946,21.62162162162162,74,28,56.75675675675676,31.08108108108108,12.162162162162161
721,394,RICHMOND COUNTY,BELAIR K-8 SCHOOL,94,45,43.61702127659574,25.53191489361702,30.851063829787233,94,32,53.191489361702125,25.53191489361702,21.27659574468085
721,397,RICHMOND COUNTY,RICHMOND HILL K-8,80,28.5,53.75,27.5,18.75,81,26,59.25925925925926,24.691358024691358,16.049382716049383
721,1054,RICHMOND COUNTY,GARRETT ELEMENTARY SCHOOL,48,53,29.166666666666668,43.75,27.083333333333332,48,48,33.333333333333336,31.25,35.416666666666664
721,1064,RICHMOND COUNTY,WALKER TRADITIONAL ELEMENTARY SCHOO,88,29.5,55.68181818181818,22.727272727272727,21.59090909090909,88,36,46.59090909090909,38.63636363636363,14.772727272727273
721,2050,RICHMOND COUNTY,BARTON CHAPEL ELEMENTARY SCHOOL,47,53,36.170212765957444,27.659574468085108,36.170212765957444,47,53,25.53191489361702,36.170212765957444,38.297872340425535
721,2052,RICHMOND COUNTY,COPELAND ELEMENTARY SCHOOL,57,50,29.82456140350877,35.08771929824562,35.08771929824562,57,47,36.8421052631579,38.59649122807018,24.56140350877193
721,2054,RICHMOND COUNTY,GLENN HILLS ELEMENTARY SCHOOL,50,42,38,34,28,50,29,58,30,12
721,2058,RICHMOND COUNTY,MERRY ELEMENTARY SCHOOL,55,44,41.81818181818182,34.54545454545455,23.636363636363637,55,32,56.36363636363637,29.09090909090909,14.545454545454545
721,2064,RICHMOND COUNTY,WARREN ROAD ELEMENTARY SCHOOL,83,42,46.98795180722892,21.686746987951807,31.325301204819276,83,30,53.01204819277108,30.120481927710845,16.867469879518072
721,3050,RICHMOND COUNTY,BAYVALE ELEMENTARY SCHOOL,45,39,44.44444444444444,33.333333333333336,22.22222222222222,45,62,22.22222222222222,28.88888888888889,48.888888888888886
721,4050,RICHMOND COUNTY,BLYTHE ELEMENTARY SCHOOL,44,31,50,29.545454545454547,20.454545454545453,44,32,52.27272727272727,27.272727272727273,20.454545454545453
721,4054,RICHMOND COUNTY,GRACEWOOD ELEMENTARY SCHOOL,84,55,28.571428571428573,30.952380952380953,40.476190476190474,84,42,36.904761904761905,32.142857142857146,30.952380952380953
721,4058,RICHMOND COUNTY,MONTE SANO ELEMENTARY SCHOOL,53,57,35.84905660377358,32.075471698113205,32.075471698113205,53,61,22.641509433962263,35.84905660377358,41.509433962264154
721,4064,RICHMOND COUNTY,WHEELESS ROAD ELEMENTARY SCHOOL,64,56.5,25,40.625,34.375,63,40,47.61904761904762,25.396825396825395,26.984126984126984
721,4762,RICHMOND COUNTY,TERRACE MANOR ELEMENTARY SCHOOL,31,41,41.935483870967744,32.25806451612903,25.806451612903224,31,37,41.935483870967744,32.25806451612903,25.806451612903224
721,5054,RICHMOND COUNTY,DOROTHY HAINS ELEMENTARY SCHOOL,63,35,49.20634920634921,36.507936507936506,14.285714285714286,63,21,63.492063492063494,20.634920634920636,15.873015873015873
722,102,ROCKDALE COUNTY,PEEK'S CHAPEL ELEMENTARY,83,42,38.55421686746988,32.53012048192771,28.91566265060241,82,45,42.68292682926829,30.48780487804878,26.829268292682926
722,110,ROCKDALE COUNTY,HICKS ELEMENTARY SCHOOL,135,37,45.18518518518518,31.11111111111111,23.703703703703702,132,44,43.93939393939394,24.242424242424242,31.818181818181817
722,174,ROCKDALE COUNTY,HONEY CREEK ELEMENTARY SCHOOL,83,37,44.57831325301205,38.55421686746988,16.867469879518072,83,37,45.78313253012048,30.120481927710845,24.096385542168676
722,178,ROCKDALE COUNTY,BARKSDALE ELEMENTARY SCHOOL,82,56,32.926829268292686,28.048780487804876,39.02439024390244,82,43,45.1219512195122,25.609756097560975,29.26829268292683
722,189,ROCKDALE COUNTY,SIMS ELEMENTARY SCHOOL,74,46,33.78378378378378,37.83783783783784,28.37837837837838,72,38.5,45.833333333333336,37.5,16.666666666666668
722,194,ROCKDALE COUNTY,SHOAL CREEK ELEMENTARY SCHOOL,99,31,56.56565656565657,20.2020202020202,23.232323232323232,98,31,53.06122448979592,26.53061224489796,20.408163265306122
722,197,ROCKDALE COUNTY,LORRAINE ELEMENTARY SCHOOL,108,50,36.111111111111114,32.407407407407405,31.48148148148148,109,46,33.027522935779814,36.69724770642202,30.275229357798164
722,289,ROCKDALE COUNTY,HIGHTOWER TRAIL ELEMENTARY SCHOOL,87,39,42.52873563218391,28.735632183908045,28.735632183908045,88,33.5,52.27272727272727,27.272727272727273,20.454545454545453
722,2050,ROCKDALE COUNTY,FLAT SHOALS ELEMENTARY SCHOOL,101,43,36.633663366336634,33.663366336633665,29.702970297029704,101,29,55.445544554455445,25.742574257425744,18.81188118811881
722,2052,ROCKDALE COUNTY,PINE STREET ELEMENTARY SCHOOL,81,61,23.45679012345679,37.03703703703704,39.50617283950617,81,64,23.45679012345679,30.864197530864196,45.67901234567901
722,5050,ROCKDALE COUNTY,HOUSE ELEMENTARY SCHOOL,88,53,31.818181818181817,32.95454545454545,35.22727272727273,88,64,22.727272727272727,29.545454545454547,47.72727272727273
723,198,SCHLEY COUNTY,SCHLEY COUNTY ELEMENTARY SCHOOL,75,40,48,24,28,75,50,36,26.666666666666668,37.333333333333336
